    52 Europa             L.H. Wasserman   6.31  0.18 0.66 302.5 C       0   0   0   0   0   0 58143 2994 20191113 273.544072 343.462517 128.603948  7.478501 0.11038688   3.09362568 20190927 2.4E-02 -3.0E-05 20191005 2.9E-02 20201227 2.9E-02 20201227 2.9E-02 20201227
    53 Kalypso            L.H. Wasserman   8.81  0.15 0.71 115.4         0   0   0   0   0   0 54677 2756 20191113 110.861983 313.332842 143.547026  5.171024 0.20540592   2.61724276 20190923 1.1E-02 -2.8E-06 20191005 2.2E-02 20200614 3.7E-02 20261222 3.7E-02 20261222
    54 Alexandra          L.H. Wasserman   7.66  0.15 0.70 165.8 C       0   0   0   0   0   0 56944 2314 20191113  62.510983 344.995265 313.250900 11.798127 0.19731493   2.71056277 20190927 2.9E-02  2.0E-05 20191005 2.9E-02 20191009 4.3E-02 20230729 4.3E-02 20230729
    55 Pandora            L.H. Wasserman   7.7   0.15 0.69  66.7 E?      0   0   0   0   0   0 56920 2851 20191113  44.016534   5.384190  10.377394  7.179436 0.14313827   2.76035541 20190927 2.0E-02  1.3E-04 20191005 2.6E-02 20191206 3.1E-02 20281113 3.1E-02 20281113
    56 Melete             L.H. Wasserman   8.31  0.15 0.69 113.2 l       0   0   0   0   0   0 56261 2586 20191113 293.655466 105.042416 192.984160  8.081228 0.23818874   2.59570516 20190923 1.1E-02  1.1E-05 20191005 3.9E-02 20200627 3.9E-02 20200627 3.9E-02 20200627
    57 Mnemosyne          L.H. Wasserman   7.03  0.15 0.83 112.6 S       0   0   0   0   0   0 58312 2527 20191113 178.361880 210.749518 199.196141 15.211413 0.11307214   3.15223901 20190923 1.3E-02 -2.2E-06 20191005 2.6E-02 20200528 3.0E-02 20270911 3.0E-02 20270911
    58 Concordia          L.H. Wasserman   8.86  0.15 0.69  93.4 C       0   0  16   0   0   0 56708 3034 20191113 342.731264  30.972207 161.106309  5.065859 0.04264061   2.69955105 20190923 1.1E-02  1.4E-05 20191005 2.5E-02 20200427 2.7E-02 20290513 2.7E-02 20290513
    59 Elpis              L.H. Wasserman   7.93  0.15 0.67 164.8 C       0   0   0   0   0   0 54249 2388 20191113 203.376032 211.020294 170.023189  8.641076 0.11915911   2.71217444 20190923 1.1E-02 -4.8E-06 20191005 2.5E-02 20200613 3.3E-02 20211014 3.3E-02 20211014
    60 Echo               L.H. Wasserman   8.21  0.27 0.85  60.2 S       0   0   0   0   0   0 57966 3091 20191113 261.664322 271.235851 191.546875  3.600609 0.18477049   2.39193722 20191003 2.2E-02 -1.3E-04 20191005 4.3E-02 20210123 4.3E-02 20210123 4.2E-02 20210123
    61 Danae              L.H. Wasserman   7.68  0.15 0.85  82.0 S       0   0   0   0   0   0 56274 2003 20191113 310.471381  12.396859 333.590600 18.201822 0.16556542   2.98587305 20190927 2.1E-02 -4.8E-05 20191005 4.0E-02 20200920 4.5E-02 20250901 4.5E-02 20250901
    62 Erato              L.H. Wasserman   8.76  0.15 0.71  95.4 C?      0   0   0   0   0   0 39767 2981 20191113 274.856881 276.916911 125.120359  2.235938 0.16779985   3.13118400 20190927 1.6E-02 -6.2E-05 20191005 3.2E-02 20200928 3.4E-02 20261127 3.4E-02 20261127
    63 Ausonia            L.H. Wasserman   7.55  0.25 0.90 103.1 S       0   0   0   0   0   0 57905 2458 20191113 192.660423 296.002936 337.724681  5.775822 0.12690785   2.39548056 20190927 1.7E-02  7.6E-05 20191005 2.8E-02 20200119 4.0E-02 20250731 4.0E-02 20250731
